2013-05-03 07:31:20.896000	[*INFO]: Starting JTMain
2013-05-03 07:45:22.199000	[*INFO]: Starting JTMain
2013-05-03 07:45:50.255000	[*INFO]: Starting JTMain
2013-05-03 07:46:20.510000	[*INFO]: Starting JTMain
2013-05-03 07:46:34.317000	[*INFO]: Starting JTMain
2013-05-03 07:47:05.957000	[*INFO]: Starting JTMain
2013-05-03 07:47:20.076000	[*INFO]: Starting JTMain
2013-05-03 07:47:42.327000	[*INFO]: Starting JTMain
2013-05-03 07:48:41.204000	[*INFO]: Starting JTMain
2013-05-03 07:48:49.538000	[*INFO]: Starting JTMain
2013-05-03 07:49:07.258000	[*INFO]: Starting JTMain
2013-05-03 07:53:42.029000	[*INFO]: Starting JTMain
2013-05-03 07:53:42.446000	[DEBUG]: Button Initilized
2013-05-03 07:54:01.662000	[*INFO]: Starting JTMain
2013-05-03 07:54:01.908000	[DEBUG]: Button Initilized
2013-05-03 07:54:30.175000	[*INFO]: Starting JTMain
2013-05-03 07:54:30.414000	[DEBUG]: Button Initilized
2013-05-03 07:55:08.440000	[*INFO]: Starting JTMain
2013-05-03 07:55:08.681000	[DEBUG]: Button Initilized
2013-05-03 07:57:42.034000	[*INFO]: Starting JTMain
2013-05-03 07:57:42.289000	[DEBUG]: Button Initilized
2013-05-03 07:57:55.498000	[*INFO]: Starting JTMain
2013-05-03 07:57:55.737000	[DEBUG]: Button Initilized
2013-05-03 08:00:09.969000	[*INFO]: Starting JTMain
2013-05-03 08:00:10.212000	[DEBUG]: Button Initilized
2013-05-03 08:00:44.230000	[*INFO]: Starting JTMain
2013-05-03 08:00:44.468000	[DEBUG]: Button Initilized
2013-05-03 08:05:00.167000	[*INFO]: Starting JTMain
2013-05-03 08:05:00.408000	[DEBUG]: Button Initilized
2013-05-03 08:41:30.052000	[*INFO]: Starting JTMain
2013-05-03 08:41:30.055000	[DEBUG]: init pygame
2013-05-03 08:41:30.261000	[DEBUG]: inited
2013-05-03 08:41:30.263000	[DEBUG]: pop screen
2013-05-03 08:41:30.302000	[DEBUG]: popped
2013-05-03 08:41:30.304000	[DEBUG]: settitle
2013-05-03 08:41:30.306000	[DEBUG]: set. making button
2013-05-03 08:41:30.310000	[DEBUG]: Button Initilized
2013-05-03 08:41:37.287000	[*INFO]: Starting JTMain
2013-05-03 08:41:37.289000	[DEBUG]: init pygame
2013-05-03 08:41:37.494000	[DEBUG]: inited
2013-05-03 08:41:37.496000	[DEBUG]: pop screen
2013-05-03 08:41:37.532000	[DEBUG]: popped
2013-05-03 08:41:37.534000	[DEBUG]: settitle
2013-05-03 08:41:37.536000	[DEBUG]: set. making button
2013-05-03 08:41:37.539000	[DEBUG]: Button Initilized
2013-05-03 08:46:17.863000	[*INFO]: Starting JTMain
2013-05-03 08:46:17.866000	[DEBUG]: init pygame
2013-05-03 08:46:18.096000	[DEBUG]: inited
2013-05-03 08:46:18.098000	[DEBUG]: pop screen
2013-05-03 08:46:18.133000	[DEBUG]: popped
2013-05-03 08:46:18.135000	[DEBUG]: settitle
2013-05-03 08:46:18.138000	[DEBUG]: set. making button
2013-05-03 08:46:18.141000	[DEBUG]: Button Initilized
2013-05-03 08:46:38.394000	[*INFO]: Starting JTMain
2013-05-03 08:46:38.397000	[DEBUG]: init pygame
2013-05-03 08:46:38.604000	[DEBUG]: inited
2013-05-03 08:46:38.606000	[DEBUG]: pop screen
2013-05-03 08:46:38.642000	[DEBUG]: popped
2013-05-03 08:46:38.644000	[DEBUG]: settitle
2013-05-03 08:46:38.646000	[DEBUG]: set. making button
2013-05-03 08:46:38.651000	[DEBUG]: Button Initilized
2013-05-03 08:46:46.605000	[*INFO]: Starting JTMain
2013-05-03 08:46:46.607000	[DEBUG]: init pygame
2013-05-03 08:46:46.809000	[DEBUG]: inited
2013-05-03 08:46:46.811000	[DEBUG]: pop screen
2013-05-03 08:46:46.846000	[DEBUG]: popped
2013-05-03 08:46:46.848000	[DEBUG]: settitle
2013-05-03 08:46:46.850000	[DEBUG]: set. making button
2013-05-03 08:46:46.854000	[DEBUG]: Button Initilized
2013-05-03 08:47:19.117000	[*INFO]: Starting JTMain
2013-05-03 08:47:19.120000	[DEBUG]: init pygame
2013-05-03 08:47:19.327000	[DEBUG]: inited
2013-05-03 08:47:19.329000	[DEBUG]: pop screen
2013-05-03 08:47:19.361000	[DEBUG]: popped
2013-05-03 08:47:19.363000	[DEBUG]: settitle
2013-05-03 08:47:19.366000	[DEBUG]: set. making button
2013-05-03 08:47:19.371000	[DEBUG]: Button Initilized
2013-05-03 08:47:32.327000	[*INFO]: Starting JTMain
2013-05-03 08:47:32.330000	[DEBUG]: init pygame
2013-05-03 08:47:32.521000	[DEBUG]: inited
2013-05-03 08:47:32.523000	[DEBUG]: pop screen
2013-05-03 08:47:32.561000	[DEBUG]: popped
2013-05-03 08:47:32.565000	[DEBUG]: settitle
2013-05-03 08:47:32.568000	[DEBUG]: set. making button
2013-05-03 08:47:32.572000	[DEBUG]: Button Initilized
2013-05-03 08:50:09.703000	[*INFO]: Starting JTMain
2013-05-03 08:50:09.706000	[DEBUG]: init pygame
2013-05-03 08:50:09.913000	[DEBUG]: inited
2013-05-03 08:50:09.915000	[DEBUG]: pop screen
2013-05-03 08:50:09.949000	[DEBUG]: popped
2013-05-03 08:50:09.951000	[DEBUG]: settitle
2013-05-03 08:50:09.954000	[DEBUG]: set. making button
2013-05-03 08:50:09.958000	[DEBUG]: Button Initilized
2013-05-03 08:51:58.825000	[*INFO]: Starting JTMain
2013-05-03 08:51:58.828000	[DEBUG]: init pygame
2013-05-03 08:51:59.021000	[DEBUG]: inited
2013-05-03 08:51:59.024000	[DEBUG]: pop screen
2013-05-03 08:51:59.057000	[DEBUG]: popped
2013-05-03 08:51:59.060000	[DEBUG]: settitle
2013-05-03 08:51:59.062000	[DEBUG]: set. making button
2013-05-03 08:51:59.066000	[DEBUG]: Button Initilized
2013-05-03 08:52:13.682000	[*INFO]: Starting JTMain
2013-05-03 08:52:13.686000	[DEBUG]: init pygame
2013-05-03 08:52:14.014000	[DEBUG]: inited
2013-05-03 08:52:14.016000	[DEBUG]: pop screen
2013-05-03 08:52:14.055000	[DEBUG]: popped
2013-05-03 08:52:14.059000	[DEBUG]: settitle
2013-05-03 08:52:14.071000	[DEBUG]: set. making button
2013-05-03 08:52:14.077000	[DEBUG]: Button Initilized
2013-05-03 08:59:19.908000	[*INFO]: Starting JTMain
2013-05-03 08:59:19.911000	[DEBUG]: init pygame
2013-05-03 08:59:20.112000	[DEBUG]: inited
2013-05-03 08:59:20.114000	[DEBUG]: pop screen
2013-05-03 08:59:20.153000	[DEBUG]: popped
2013-05-03 08:59:20.155000	[DEBUG]: settitle
2013-05-03 08:59:20.158000	[DEBUG]: set. making button
2013-05-03 08:59:20.164000	[DEBUG]: Button Initilized
2013-05-03 09:16:29.402000	[*INFO]: Starting JTMain
2013-05-03 09:16:29.405000	[DEBUG]: init pygame
2013-05-03 09:16:29.622000	[DEBUG]: inited
2013-05-03 09:16:29.624000	[DEBUG]: pop screen
2013-05-03 09:16:29.659000	[DEBUG]: popped
2013-05-03 09:16:29.661000	[DEBUG]: settitle
2013-05-03 09:16:29.664000	[DEBUG]: set. making button
2013-05-03 09:16:29.668000	[DEBUG]: Button Initilized
2013-05-03 09:20:49.354000	[*INFO]: Starting JTMain
2013-05-03 09:20:49.357000	[DEBUG]: init pygame
2013-05-03 09:20:49.565000	[DEBUG]: inited
2013-05-03 09:20:49.568000	[DEBUG]: pop screen
2013-05-03 09:20:49.604000	[DEBUG]: popped
2013-05-03 09:20:49.607000	[DEBUG]: settitle
2013-05-03 09:20:49.609000	[DEBUG]: set. making button
2013-05-03 09:20:49.613000	[DEBUG]: Button Initilized
2013-05-03 09:24:21.915000	[*INFO]: Starting JTMain
2013-05-03 09:24:21.918000	[DEBUG]: init pygame
2013-05-03 09:24:22.387000	[DEBUG]: inited
2013-05-03 09:24:22.389000	[DEBUG]: pop screen
2013-05-03 09:24:22.481000	[DEBUG]: popped
2013-05-03 09:24:22.486000	[DEBUG]: settitle
2013-05-03 09:24:22.489000	[DEBUG]: set. making button
2013-05-03 09:24:22.493000	[DEBUG]: Button Initilized
2013-05-03 10:33:46.184000	[*INFO]: Starting JTMain
2013-05-03 10:33:46.187000	[DEBUG]: init pygame
2013-05-03 10:33:46.390000	[DEBUG]: inited
2013-05-03 10:33:46.393000	[DEBUG]: pop screen
2013-05-03 10:33:46.427000	[DEBUG]: popped
2013-05-03 10:33:46.430000	[DEBUG]: settitle
2013-05-03 10:33:46.432000	[DEBUG]: set. making button
2013-05-03 10:33:46.437000	[DEBUG]: Button Initilized
2013-05-03 10:33:58.615000	[*INFO]: Starting JTMain
2013-05-03 10:33:58.619000	[DEBUG]: init pygame
2013-05-03 10:33:58.820000	[DEBUG]: inited
2013-05-03 10:33:58.823000	[DEBUG]: pop screen
2013-05-03 10:33:58.859000	[DEBUG]: popped
2013-05-03 10:33:58.862000	[DEBUG]: settitle
2013-05-03 10:33:58.865000	[DEBUG]: set. making button
2013-05-03 10:33:58.868000	[DEBUG]: Button Initilized
2013-05-03 10:35:02.359000	[*INFO]: Starting JTMain
2013-05-03 10:35:02.363000	[DEBUG]: init pygame
2013-05-03 10:35:02.573000	[DEBUG]: inited
2013-05-03 10:35:02.577000	[DEBUG]: pop screen
2013-05-03 10:35:02.610000	[DEBUG]: popped
2013-05-03 10:35:02.613000	[DEBUG]: settitle
2013-05-03 10:35:02.616000	[DEBUG]: set. making button
2013-05-03 10:35:02.620000	[DEBUG]: Button Initilized
2013-05-03 10:35:29.090000	[*INFO]: Starting JTMain
2013-05-03 10:35:29.094000	[DEBUG]: init pygame
2013-05-03 10:35:29.297000	[DEBUG]: inited
2013-05-03 10:35:29.300000	[DEBUG]: pop screen
2013-05-03 10:35:29.340000	[DEBUG]: popped
2013-05-03 10:35:29.344000	[DEBUG]: settitle
2013-05-03 10:35:29.349000	[DEBUG]: set. making button
2013-05-03 10:35:29.353000	[DEBUG]: Button Initilized
2013-05-03 10:35:31.441000	[*INFO]: Starting Main Game (Level 1)
2013-05-03 10:36:13.854000	[*INFO]: Starting JTMain
2013-05-03 10:36:13.858000	[DEBUG]: init pygame
2013-05-03 10:36:14.064000	[DEBUG]: inited
2013-05-03 10:36:14.068000	[DEBUG]: pop screen
2013-05-03 10:36:14.103000	[DEBUG]: popped
2013-05-03 10:36:14.105000	[DEBUG]: settitle
2013-05-03 10:36:14.108000	[DEBUG]: set. making button
2013-05-03 10:36:14.111000	[DEBUG]: Button Initilized
2013-05-03 10:36:15.473000	[*INFO]: Starting Main Game (Level 1)
2013-05-03 10:37:36.438000	[*INFO]: Starting JTMain
2013-05-03 10:37:36.442000	[DEBUG]: init pygame
2013-05-03 10:37:36.652000	[DEBUG]: inited
2013-05-03 10:37:36.655000	[DEBUG]: pop screen
2013-05-03 10:37:36.688000	[DEBUG]: popped
2013-05-03 10:37:36.690000	[DEBUG]: settitle
2013-05-03 10:37:36.693000	[DEBUG]: set. making button
2013-05-03 10:37:36.696000	[DEBUG]: Button Initilized
2013-05-03 10:37:38.592000	[*INFO]: Starting Main Game (Level 1)
